%% weka file for methodology2 emotion

@relation Emotion
@attribute LEB1_CPLE1 numeric
@attribute LEB2_CPLE2 numeric
@attribute REB1_CPRE1 numeric
@attribute REB2_CPRE2 numeric
@attribute OPEN_LE1 numeric
@attribute OPEN_LE2 numeric
@attribute OPEN_RE1 numeric
@attribute OPEN_RE2 numeric
@attribute EXP_MO numeric
@attribute OPEN_MO1 numeric
@attribute OPEN_MO2 numeric
@attribute OPEN_MO3 numeric
@attribute NS_LPLIP numeric
@attribute NS_RPLIP numeric
@attribute betweenEyesWrinkles numeric
@attribute noseWrinkles numeric
@attribute label {anger, smile, sad, surprise, neutral, fear, disgust}

@data
29,30,28,29,13,13,13,13,124,8,5,9,24,15,17,155,smile
29,29,28,28,13,13,13,13,121,8,6,8,23,15,16,142,smile
26,27,25,25,9,8,9,9,113,21,20,21,14,22,60,265,smile
28,28,28,27,6,6,6,6,117,21,21,22,11,20,42,325,smile
30,30,30,29,16,17,16,16,84,49,49,51,44,49,5,149,surprise
26,25,25,26,16,16,16,16,82,49,49,50,45,49,12,152,surprise
26,23,22,26,14,13,12,12,85,29,27,29,34,33,206,242,surprise
25,22,21,25,13,12,12,12,83,24,23,24,30,31,170,251,surprise
25,27,27,25,14,14,14,14,93,28,26,28,39,39,31,174,surprise
26,27,29,27,14,13,13,13,96,38,37,38,40,41,37,204,surprise
39,40,38,37,13,14,12,12,77,62,61,61,42,48,97,127,surprise
20,19,19,23,18,17,17,17,78,48,46,46,37,32,34,228,surprise
23,21,20,23,15,15,15,15,80,46,44,46,37,33,14,221,surprise
35,34,34,34,10,11,11,11,64,32,31,32,26,25,179,301,surprise
34,34,35,35,12,11,11,11,66,32,30,31,27,25,132,295,surprise
31,33,32,30,14,14,15,15,71,46,45,47,45,44,26,126,surprise
33,31,28,30,14,13,14,14,90,40,39,41,32,35,66,308,surprise
35,32,30,32,12,12,12,12,91,42,41,43,32,38,55,327,surprise
17,14,16,18,14,14,14,14,89,28,26,28,32,34,13,171,neutral
21,19,21,22,14,14,13,13,87,27,24,27,32,34,8,160,neutral
21,20,21,22,14,13,13,13,87,28,26,27,33,33,10,149,neutral
26,26,26,26,11,11,11,11,109,25,23,26,30,31,40,176,neutral
24,23,23,24,11,11,12,12,108,25,23,25,30,30,4,115,neutral
23,21,21,24,12,12,11,11,93,7,5,7,30,36,96,294,neutral
25,23,23,26,12,11,11,11,105,19,17,19,30,33,140,248,neutral
27,27,27,28,7,7,7,7,98,21,21,23,28,24,52,183,neutral
28,28,28,30,7,6,7,7,99,24,23,24,29,24,47,195,neutral
17,15,16,16,14,13,14,14,81,23,21,23,24,30,24,129,neutral
24,26,27,25,12,12,11,11,95,25,23,26,33,37,9,148,neutral
24,24,26,24,12,12,12,12,95,27,25,27,32,37,16,149,neutral
24,24,21,24,11,12,11,11,98,27,23,25,40,25,81,260,neutral
28,30,28,28,9,8,9,9,98,23,21,22,34,28,37,240,neutral
22,20,18,22,13,13,12,12,91,25,23,25,32,25,34,275,neutral
21,19,18,21,14,14,13,13,93,26,24,27,33,26,31,254,neutral
23,20,20,23,11,11,11,11,56,8,6,6,34,31,101,366,neutral
31,31,29,30,10,9,9,9,59,5,3,4,33,29,77,338,neutral
27,25,24,27,8,9,9,9,57,6,5,6,30,27,105,315,neutral
33,33,33,32,15,16,16,16,119,29,26,28,47,39,2,168,neutral
29,29,29,30,13,11,12,12,101,20,19,20,27,35,55,303,neutral
30,29,28,29,12,11,12,12,98,18,17,19,25,34,41,309,neutral
21,19,20,22,10,10,10,10,85,30,28,30,40,41,4,180,sad
22,20,22,23,11,12,11,11,83,33,31,33,48,50,0,193,sad
33,30,28,29,2,2,3,3,119,13,11,14,13,15,69,269,sad
26,25,24,25,6,6,5,5,114,18,15,17,17,17,87,281,sad
30,30,30,28,8,8,8,8,80,18,15,18,42,54,5,133,sad
30,33,33,30,7,7,7,7,107,23,21,23,34,40,0,174,sad
26,25,26,28,7,6,6,6,64,6,4,6,35,32,114,366,sad
25,23,23,25,5,6,5,5,93,14,13,14,20,17,112,409,sad
26,26,25,26,12,12,12,12,107,26,24,26,36,41,35,403,sad
32,35,35,34,6,6,5,5,108,30,28,29,40,36,10,175,sad
32,34,33,33,5,4,4,4,115,23,22,23,41,35,17,250,sad
32,33,33,34,10,10,9,9,116,23,21,23,38,41,4,143,sad
33,34,34,35,9,9,8,8,120,20,18,20,37,41,2,134,sad
27,27,24,27,12,11,11,11,107,20,18,19,35,24,10,222,sad
29,28,24,27,11,11,10,10,105,17,15,17,33,26,8,213,sad
16,14,14,15,12,12,13,13,78,29,27,29,42,46,70,179,anger
19,13,11,19,9,9,8,8,101,17,14,17,23,24,182,255,anger
19,14,12,18,9,9,9,9,99,19,16,19,23,23,198,254,anger
20,19,19,19,7,7,7,7,104,12,12,13,29,26,237,274,anger
20,19,18,19,8,8,7,7,103,14,13,14,27,24,190,247,anger
19,17,16,17,12,13,12,12,106,28,26,28,37,32,125,336,anger
19,17,15,17,13,14,13,13,107,28,26,28,38,33,138,311,anger
18,16,14,16,11,12,12,12,108,26,25,26,33,25,81,298,anger
19,18,15,18,11,12,10,10,99,26,23,26,33,25,85,287,anger
19,15,14,19,12,12,12,12,60,8,6,8,38,33,173,326,anger
15,12,12,16,9,9,9,9,96,2,1,3,11,5,148,79,anger
18,17,18,17,12,13,13,13,91,6,3,6,16,18,53,73,anger
18,13,13,20,11,11,10,10,83,19,16,17,22,17,59,82,anger
20,14,14,21,11,11,11,11,86,18,16,17,21,17,56,92,anger
18,16,17,20,16,16,16,16,107,9,6,9,35,27,17,175,anger
20,17,15,20,13,13,13,13,98,1,3,1,40,32,69,215,anger
16,12,12,16,11,12,12,12,94,26,23,25,27,30,49,106,anger
16,12,13,15,12,12,13,13,93,26,24,26,27,29,42,123,anger
15,12,13,16,12,11,12,12,89,27,25,27,32,29,68,140,anger
16,13,12,15,15,14,15,15,95,29,27,29,35,32,101,141,anger
15,13,13,15,15,15,15,15,88,27,24,27,33,32,85,132,anger
21,20,19,20,8,8,8,8,90,18,18,18,27,30,84,265,anger
21,20,19,20,7,7,6,6,88,17,16,17,28,30,119,291,anger
20,17,20,22,5,5,3,3,109,8,8,8,19,21,162,407,disgust
19,18,19,20,5,5,5,5,98,3,1,3,21,25,137,545,disgust
22,18,18,21,5,6,6,6,74,33,32,33,35,40,105,138,disgust
20,17,17,18,6,7,7,7,69,31,29,31,34,41,138,149,disgust
17,15,15,15,11,11,11,11,63,31,29,32,45,48,47,202,disgust
